,adoc,feedrate,ff,fn,fa,
,
Actual,1.399999976158142,0.26344001293182373,188.8396759033203,765.523681640625,617.6825561523438,
Prediction,1.399999976158142,0.26344001293182373,188.30628967285156,767.2017211914062,613.7344360351562,
Per Dev,1.399999976158142,0.26344001293182373,0.28245455026626587,0.21920153498649597,0.6391826868057251,
,
Actual,1.7999999523162842,0.2117999941110611,228.3873748779297,804.3539428710938,657.22216796875,
Prediction,1.7999999523162842,0.2117999941110611,228.4167022705078,804.230712890625,657.50244140625,
Per Dev,1.7999999523162842,0.2117999941110611,0.012841073796153069,0.015320367179811,0.0426451601088047,
,
Actual,1.7999999523162842,0.21870000660419464,232.36358642578125,825.2476806640625,662.1965942382812,
Prediction,1.7999999523162842,0.21870000660419464,232.34359741210938,825.0131225585938,662.1375122070312,
Per Dev,1.7999999523162842,0.21870000660419464,0.008602472022175789,0.028422750532627106,0.00892212800681591,
,
Actual,1.7999999523162842,0.22360000014305115,235.1355743408203,839.853515625,665.677001953125,
Prediction,1.7999999523162842,0.22360000014305115,235.11436462402344,839.6464233398438,665.6820068359375,
Per Dev,1.7999999523162842,0.22360000014305115,0.009020207449793816,0.024658145383000374,0.000751848507206887,
,
Actual,1.7999999523162842,0.26030001044273376,255.87225341796875,950.6442260742188,692.1617431640625,
Prediction,1.7999999523162842,0.26030001044273376,255.93795776367188,950.2894287109375,692.2693481445312,
Per Dev,1.7999999523162842,0.26030001044273376,0.025678575038909912,0.0373217836022377,0.015546218492090702,
,
Actual,1.7999999523162842,0.2884100079536438,271.5516662597656,1035.8873291015625,712.6350708007812,
Prediction,1.7999999523162842,0.2884100079536438,271.6101379394531,1035.9886474609375,712.8832397460938,
Per Dev,1.7999999523162842,0.2884100079536438,0.021532433107495308,0.009780827909708023,0.034824125468730927,
,
Actual,1.0053000450134277,0.20000000298023224,110.48768615722656,463.1694030761719,478.12127685546875,
Prediction,1.0053000450134277,0.20000000298023224,110.88650512695312,461.77545166015625,479.9009094238281,
Per Dev,1.0053000450134277,0.20000000298023224,0.3609623908996582,0.3009593188762665,0.3722136318683624,
,
Actual,1.0149999856948853,0.20000000298023224,111.78173828125,467.2232360839844,480.7495422363281,
Prediction,1.0149999856948853,0.20000000298023224,111.87652587890625,465.47381591796875,481.5063781738281,
Per Dev,1.0149999856948853,0.20000000298023224,0.08479703217744827,0.37442919611930847,0.1574283242225647,
,
Actual,1.090000033378601,0.20000000298023224,121.44629669189453,496.80181884765625,499.5378112792969,
Prediction,1.090000033378601,0.20000000298023224,121.18667602539062,496.33868408203125,498.8878479003906,
Per Dev,1.090000033378601,0.20000000298023224,0.21377405524253845,0.09322324395179749,0.13011294603347778,
,
Actual,1.6176999807357788,0.20000000298023224,194.37863159179688,700.3756713867188,616.185791015625,
Prediction,1.6176999807357788,0.20000000298023224,194.34783935546875,700.5972900390625,615.7991333007812,
Per Dev,1.6176999807357788,0.20000000298023224,0.015841368585824966,0.03164282441139221,0.0627501830458641,
,
Actual,1.8513000011444092,0.20000000298023224,229.48727416992188,788.0845336914062,657.4557495117188,
Prediction,1.8513000011444092,0.20000000298023224,229.4958953857422,788.1478271484375,657.0835571289062,
Per Dev,1.8513000011444092,0.20000000298023224,0.003756729420274496,0.008031303063035011,0.05661102011799812,
,
Actual,1.152999997138977,0.23999999463558197,140.99697875976562,598.5936279296875,536.1502075195312,
Prediction,1.152999997138977,0.23999999463558197,141.08486938476562,596.0570678710938,536.5584106445312,
Per Dev,1.152999997138977,0.23999999463558197,0.06233511492609978,0.4237532615661621,0.07613596320152283,
,
Actual,1.2369999885559082,0.23999999463558197,153.60145568847656,636.6050415039062,556.5407104492188,
Prediction,1.2369999885559082,0.23999999463558197,153.42156982421875,635.7958374023438,556.3529663085938,
Per Dev,1.2369999885559082,0.23999999463558197,0.11711207777261734,0.12711241841316223,0.03373412415385246,
,
