,adoc,feedrate,ff,fn,fa,
Prediction,1.090000033378601,0.20000000298023224,121.24435424804688,494.89385986328125,499.5233154296875,
Per Dev,1.090000033378601,0.20000000298023224,0.16628126800060272,0.38404831290245056,0.0029018523637205362,
,
Actual,1.6176999807357788,0.20000000298023224,194.37863159179688,700.3756713867188,616.185791015625,
Prediction,1.6176999807357788,0.20000000298023224,194.0834503173828,700.4270629882812,615.5748291015625,
Per Dev,1.6176999807357788,0.20000000298023224,0.15185891091823578,0.007337719667702913,0.09915222227573395,
,
Actual,1.8513000011444092,0.20000000298023224,229.48727416992188,788.0845336914062,657.4557495117188,
Prediction,1.8513000011444092,0.20000000298023224,229.12110900878906,789.3238525390625,656.450927734375,
Per Dev,1.8513000011444092,0.20000000298023224,0.15955793857574463,0.1572570949792862,0.15283489227294922,
,
Actual,1.152999997138977,0.23999999463558197,140.99697875976562,598.5936279296875,536.1502075195312,
Prediction,1.152999997138977,0.23999999463558197,140.86285400390625,596.9392700195312,536.692626953125,
Per Dev,1.152999997138977,0.23999999463558197,0.09512598067522049,0.27637413144111633,0.10116930305957794,
,
Actual,1.2369999885559082,0.23999999463558197,153.60145568847656,636.6050415039062,556.5407104492188,
Prediction,1.2369999885559082,0.23999999463558197,153.5277557373047,635.3578491210938,555.60400390625,
Per Dev,1.2369999885559082,0.23999999463558197,0.04798128455877304,0.19591306149959564,0.16830871999263763,
,
Actual,1.4730000495910645,0.23999999463558197,190.02952575683594,744.326904296875,613.7644653320312,
Prediction,1.4730000495910645,0.23999999463558197,190.2923126220703,743.2940063476562,612.8572387695312,
Per Dev,1.4730000495910645,0.23999999463558197,0.13828738033771515,0.13876938819885254,0.14781348407268524,
,
Actual,1.559000015258789,0.23999999463558197,203.99794006347656,782.7796630859375,631.6304931640625,
Prediction,1.559000015258789,0.23999999463558197,203.9842071533203,781.6768188476562,630.58447265625,
Per Dev,1.559000015258789,0.23999999463558197,0.006731886882334948,0.14088821411132812,0.16560639441013336,
,
Actual,1.7128100395202637,0.23999999463558197,229.56634521484375,850.7802124023438,661.5040283203125,
Prediction,1.7128100395202637,0.23999999463558197,229.70286560058594,849.9909057617188,662.02783203125,
Per Dev,1.7128100395202637,0.23999999463558197,0.059468816965818405,0.09277445077896118,0.07918374985456467,
,
Actual,1.027999997138977,0.2800000011920929,134.83596801757812,609.09228515625,532.2495727539062,
Prediction,1.027999997138977,0.2800000011920929,135.2477264404297,604.8421020507812,533.8305053710938,
Per Dev,1.027999997138977,0.2800000011920929,0.3053773045539856,0.6977896690368652,0.29702842235565186,
,
Actual,1.323699951171875,0.2800000011920929,180.775146484375,764.5538940429688,600.5336303710938,
Prediction,1.323699951171875,0.2800000011920929,181.192138671875,763.75244140625,603.3480224609375,
Per Dev,1.323699951171875,0.2800000011920929,0.23066897690296173,0.1048261746764183,0.4686485528945923,
,
Actual,1.4450000524520874,0.2800000011920929,203.09979248046875,827.9437255859375,638.49560546875,
