,adoc,feedrate,ff,fn,fa,,,,,,
Per Dev,1.71281003952026,0.239999994635582,0.038425084203482,0.027067583054304,0.166634649038315,,,,,,
,,,,,,,,,,,
Actual,1.02799999713898,0.280000001192093,134.835968017578,609.09228515625,532.249572753906,,,,,,
Prediction,1.02799999713898,0.280000001192093,134.626571655273,608.307678222656,533.139709472656,,,,,,
Per Dev,1.02799999713898,0.280000001192093,0.155297100543976,0.128815770149231,0.167240470647812,,,,,,
,,,,,,,,,,,
Actual,1.32369995117188,0.280000001192093,180.775146484375,764.553894042969,600.533630371094,,,,,,
Prediction,1.32369995117188,0.280000001192093,180.846267700195,762.713012695312,603.741882324219,,,,,,
Per Dev,1.32369995117188,0.280000001192093,0.039342362433672,0.240778505802155,0.534233510494232,,,,,,
,,,,,,,,,,,
Actual,1.44500005245209,0.280000001192093,203.099792480469,827.943725585937,638.49560546875,,,,,,
Prediction,1.44500005245209,0.280000001192093,202.937881469727,830.807556152344,635.47412109375,,,,,,
Per Dev,1.44500005245209,0.280000001192093,0.079719930887222,0.345896780490875,0.473219305276871,,,,,,
,,,,,,,,,,,
Actual,1.77799999713898,0.280000001192093,262.777740478516,999.461181640625,702.454040527344,,,,,,
Prediction,1.77799999713898,0.280000001192093,262.559692382812,999.390014648438,702.311218261719,,,,,,
Per Dev,1.77799999713898,0.280000001192093,0.082978144288063,0.007120535708964,0.020331902429462,,,,,,
,,,,,,,,,,,
Actual,1.81900000572205,0.280000001192093,270.664672851562,1020.26672363281,710.140197753906,,,,,,
Prediction,1.81900000572205,0.280000001192093,270.436767578125,1019.38153076172,709.453979492188,,,,,,
Per Dev,1.81900000572205,0.280000001192093,0.084202080965042,0.086760930716992,0.09663137793541,,,,,,
,,,,,,,,,,,0.497088342905045
,,,,,,,,,,,0.556575357913971
Mean,,,0.131957992911339,0.138537958264351,0.258910357952118,,,,,,0.949816286563873
95th percentile,,,0.421326547861099,0.345896780490875,0.918636202812195,,,,,,
99th percentile,,,0.497088342905045,0.556575357913971,0.949816286563873,,,,,,
Worst,,,0.497088342905045,0.556575357913971,0.949816286563873,,,,,,
