RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m)
300,1.2,0.21,139.9806166,555.7372308,518.7210467,2.390834107,2.380617093,,,800,1.2,0.21,139.9655224,555.7417465,518.7128825,2.39077001,2.380603444,,,1300,1.2,0.21,139.9806166,555.7372308,518.7210467,2.390834107,2.380617093,,,1800,1.2,0.21,139.9655224,555.7417465,518.7128825,2.39077001,2.380545311,,,2300,1.2,0.21,139.9806166,555.7372308,518.7210467,2.390834107,2.380617093,,,,2800,1.2,0.21,139.9806166,555.7372308,518.7210467,2.390834107,2.380617093
300,1.2,0.22,143.0815467,575.8823628,524.2228956,2.475167713,2.464075918,,,800,1.2,0.22,143.0653808,575.88714,524.2142818,2.475100099,2.464061283,,,1300,1.2,0.22,143.0815467,575.8823628,524.2228956,2.475167713,2.464075918,,,1800,1.2,0.22,143.0653808,575.88714,524.2142818,2.475100099,2.463999628,,,2300,1.2,0.22,143.0815467,575.8823628,524.2228956,2.475167713,2.464075918,,,,2800,1.2,0.22,143.0815467,575.8823628,524.2228956,2.475167713,2.464075918
300,1.2,0.23,146.2121656,596.0509877,529.7240149,2.559508716,2.547441078,,,800,1.2,0.23,146.1945974,596.0560814,529.7148538,2.559436904,2.547425241,,,1300,1.2,0.23,146.2121656,596.0509877,529.7240149,2.559508716,2.547441078,,,1800,1.2,0.23,146.1945974,596.0560814,529.7148538,2.559436904,2.547359415,,,2300,1.2,0.23,146.2121656,596.0509877,529.7240149,2.559508716,2.547441078,,,,2800,1.2,0.23,146.2121656,596.0509877,529.7240149,2.559508716,2.547441078
300,1.2,0.24,149.3287573,616.2600603,535.2426664,2.644085902,2.631026313,,,800,1.2,0.24,149.3097157,616.2654833,535.232937,2.644009755,2.631009227,,,1300,1.2,0.24,149.3287573,616.2600603,535.2426664,2.644085902,2.631026313,,,1800,1.2,0.24,149.3097157,616.2654833,535.232937,2.644009755,2.630939014,,,2300,1.2,0.24,149.3287573,616.2600603,535.2426664,2.644085902,2.631026313,,,,2800,1.2,0.24,149.3287573,616.2600603,535.2426664,2.644085902,2.631026313
300,1.2,0.25,152.3622877,636.541143,540.8030392,2.729304975,2.71542112,,,800,1.2,0.25,152.341927,636.5469109,540.7927177,2.729224101,2.715402688,,,1300,1.2,0.25,152.3622877,636.541143,540.8030392,2.729304975,2.71542112,,,1800,1.2,0.25,152.341927,636.5469109,540.7927177,2.729224101,2.715327685,,,2300,1.2,0.25,152.3622877,636.541143,540.8030392,2.729304975,2.71542112,,,,2800,1.2,0.25,152.3622877,636.541143,540.8030392,2.729304975,2.71542112
300,1.2,0.26,155.4525022,656.8100376,546.3509118,2.814205021,2.799363745,,,800,1.2,0.26,155.4305667,656.8161617,546.3399783,2.81411942,2.799344087,,,1300,1.2,0.26,155.4525022,656.8100376,546.3509118,2.814205021,2.799363745,,,1800,1.2,0.26,155.4305667,656.8161617,546.3399783,2.81411942,2.799264267,,,2300,1.2,0.26,155.4525022,656.8100376,546.3509118,2.814205021,2.799363745,,,,2800,1.2,0.26,155.4525022,656.8100376,546.3509118,2.814205021,2.799363745
300,1.2,0.27,158.5398749,677.1204479,551.9184732,2.89935335,2.883550942,,,800,1.2,0.27,158.5163001,677.1269419,551.9069054,2.899262815,2.883529865,,,1300,1.2,0.27,158.5398749,677.1204479,551.9184732,2.89935335,2.883550942,,,1800,1.2,0.27,158.5163001,677.1269419,551.9069054,2.899262815,2.883445132,,,2300,1.2,0.27,158.5398749,677.1204479,551.9184732,2.89935335,2.883550942,,,,2800,1.2,0.27,158.5398749,677.1204479,551.9184732,2.89935335,2.883550942
300,1.2,0.28,164.2577524,694.8204416,565.8037151,3.001212642,2.990584246,,,800,1.2,0.28,163.6852389,695.3676978,564.1451221,2.997902847,2.990399096,,,1300,1.2,0.28,164.2577524,694.8204416,565.8037151,3.001212642,2.990584246,,,1800,1.2,0.28,163.6852389,695.3676978,564.1451221,2.997902847,2.988103849,,,2300,1.2,0.28,164.2577524,694.8204416,565.8037151,3.001212642,2.990584246,,,,2800,1.2,0.28,164.2577524,694.8204416,565.8037151,3.001212642,2.990584246
300,1.2,0.29,167.3830476,715.2058999,571.4010262,3.087046547,3.075519941,,,800,1.2,0.29,166.7971178,715.7565274,569.7439448,3.083700113,3.075330373,,,1300,1.2,0.29,167.3830476,715.2058999,571.4010262,3.087046547,3.075519941,,,1800,1.2,0.29,166.7971178,715.7565274,569.7439448,3.083700113,3.073005975,,,2300,1.2,0.29,167.3830476,715.2058999,571.4010262,3.087046547,3.075519941,,,,2800,1.2,0.29,167.3830476,715.2058999,571.4010262,3.087046547,3.075519941
300,1.3,0.2,150.6339671,573.9860789,534.8808158,2.566811844,2.55577304,,,800,1.3,0.2,150.6147571,573.9919257,534.8708023,2.566729176,2.555756781,,,1300,1.3,0.2,150.6339671,573.9860789,534.8808158,2.566811844,2.55577304,,,1800,1.3,0.2,150.6147571,573.9919257,534.8708023,2.566729176,2.555683606,,,2300,1.3,0.2,150.6339671,573.9860789,534.8808158,2.566811844,2.55577304,,,,2800,1.3,0.2,150.6339671,573.9860789,534.8808158,2.566811844,2.55577304
